Model,Exec model,Mode,Pretrained,CLS,Trained,Train pearson,Val pearson,Test pearson,Train spearman,Val spearman,Test spearman
Roberta 0 mean,4,roberta2,True,False,True,0.3884441437645001,0.3198984264697696,0.4480142178833612,0.4093780679984107,0.31646667241857307,0.47147149479519607
Roberta 0 mean,2,roberta2,True,False,True,0.8466308949543033,0.33318073001424486,0.4470992880720958,0.8470824265330995,0.3157140362759305,0.4067599755196187
Word2vec 500 mean,1,mean,True,True,True,0.5788162523137481,0.3529001414040899,0.4469605254170614,0.5833546091951096,0.38071962848832774,0.484179318249388
Roberta 0 mean,7,roberta2,True,False,True,0.7815229874708935,0.2772590170392543,0.44656830558925786,0.7764214427808495,0.30354761682715115,0.3976411900234672
Roberta 0 mean,5,roberta2,True,False,True,0.3630746285824653,0.31502073744394843,0.44642698299352834,0.3854630647974237,0.30169853331419516,0.4641423310297549
Initialized ccca300,1,embeddings,True,True,True,0.9609932644066357,0.3575608310554411,0.4425268357509773,0.9818959758695872,0.3918129152930702,0.48094410276777444
Word2vec 1000 tfidf,1,tfidf,True,True,True,0.6057089370592084,0.4523461282341751,0.44232427977734834,0.6076346438955005,0.47233770320857105,0.49429167992873296
Word2vec ccca300 mean,6,mean,True,True,True,0.8779612925719986,0.26913284422458517,0.43139568339030765,0.923582144282418,0.284021628609316,0.42215346327018377
Onehot,1,onehot,True,True,True,0.8240988720843315,0.35806384708570865,0.42982133073361956,0.8954840953246491,0.37618312648502694,0.4622336831469809
Word2vec ccca300 tfidf,2,tfidf,True,True,True,0.7916498390357202,0.3728168065778074,0.42892173789561483,0.7875549299541666,0.3810446784394194,0.42256850186877193
Roberta mean,4,roberta,True,False,True,0.3133081497822422,0.3064539354851291,0.4257770417066842,0.3627597613835133,0.30572429216348174,0.47312109276713843
Word2vec ccca300 tfidf,6,tfidf,True,True,True,0.9413412221790076,0.24155802069284343,0.4249273958079983,0.9761186377309189,0.2448609402962874,0.39109293192491956
Word2vec 100 tfidf,2,tfidf,True,True,True,0.729035514248212,0.34822976219502433,0.4192214432029475,0.7109806868730201,0.3475997085829323,0.3922903091187954
Word2vec ccca300 mean,2,mean,True,True,True,0.7348058547183907,0.3410330253781141,0.4135895432287385,0.7344220832962637,0.3540917686376322,0.40715827951221534
